"bsn","district","address_id","latitude","longitude","street","plz","district_id"
"05G03","Spandau","451","52.54863","13.19756","Hügelschanze 8-9","13585","14"
"05G04","Spandau","452","52.53861","13.17968","Seegefelder Str. 125","13583","14"
"05G05","Spandau","453","52.5199186","13.1932756","Földerichplatz 5","13595","14"
"05G06","Spandau","454","52.5510968","13.1779174","Westerwaldstr. 19-21","13589","14"
"05G07","Spandau","455","52.54766","13.20683","Lutherstr. 19-20","13585","14"
"05G08","Spandau","456","52.53018","13.19202","Elsflether Weg 26","13581","14"
"05G09","Spandau","457","52.5490985","13.1933997","Askanierring 42","13585","14"
"05S01","Spandau","457","52.5490985","13.1933997","Askanierring 42","13585","14"
"05G10","Spandau","458","52.52596","13.1805185","Seeburger Str. 59","13581","14"
"05G11","Spandau","459","52.54065","13.27277","Jungfernheideweg 33-48","13629","14"
"05G12","Spandau","460","52.50825","13.1742","Daberkowstr. 27","13593","14"
"05G13","Spandau","461","52.54494","13.2325","Daumstr. 12","13599","14"
"05G14","Spandau","462","52.53517","13.14081","Staakener Feldstr. 6-8","13591","14"
"05G15","Spandau","463","52.54049","13.19242","Borkzeile 34","13583","14"
"05G16","Spandau","464","52.5409","13.14635","Heidebergplan 3-4","13591","14"
"05G17","Spandau","465","52.5311","13.15652","Südekumzeile 5","13591","14"
"05G18","Spandau","466","52.5490388","13.1565299","Im Spektefeld 31","13589","14"
"05G19","Spandau","467","52.4552389","13.1383574","Schallweg 31","14089","14"
"05G20","Spandau","468","52.56751","13.1990605","Hakenfelder Str. 32","13587","14"
"05G21","Spandau","469","52.521","13.19029","Adamstr. 24-25","13595","14"
"05S02","Spandau","469","52.521","13.19029","Adamstr. 24-25","13595","14"
"05G22","Spandau","470","52.5227","13.16816","Räcknitzer Steig 12","13593","14"
"05G23","Spandau","471","52.53595","13.15293","Spandauer Str. 86","13591","14"
"05G24","Spandau","472","52.48547","13.17431","Am Kinderdorf 23-37","14089","14"
"05G25","Spandau","473","52.55625","13.16467","Pionierstr. 197","13589","14"
"05S04","Spandau","473","52.55625","13.16467","Pionierstr. 197","13589","14"
"05G26","Spandau","474","52.51289","13.1667","Weinmeisterhornweg 122","13593","14"
"05G27","Spandau","475","52.5438932","13.1996","Flankenschanze 20","13585","14"
"05G28","Spandau","476","52.544051","13.2283811","Grützmacherweg 7","13599","14"
"05G29","Spandau","477","52.472209","13.1274264","Am Flugplatz Gatow 20","14089","14"
"05K01","Spandau","478","52.54895","13.1565","Im Spektefeld 33","13589","14"
"05K02","Spandau","479","52.5259","13.17464","Lutoner Str. 15-19","13581","14"
"05K03","Spandau","480","52.5253081","13.1926918","Wilhelmstr. 10","13595","14"
"05K04","Spandau","481","52.5651662","13.1990333","Am Forstacker 9-11","13587","14"
"05K05","Spandau","482","52.5469","13.17403","Recklinghauser Weg 26-32","13583","14"
"05K06","Spandau","483","52.54571","13.1967","Blumenstr. 13","13585","14"
"05K07","Spandau","484","52.53843","13.26697","Lenther Steig 1-3","13629","14"
"05K08","Spandau","485","52.51098","13.18567","Jaczostr. 53-67","13595","14"
"05K09","Spandau","486","52.5349","13.13491","Brunsbütteler Damm 431-437","13591","14"
"05P01","Spandau","487","52.4597604","13.154198","Neukladower Allee 1","14089","14"
"05P02","Spandau","488","52.54414","13.19216","Hohenzollernring 156-159","13585","14"
"05P05","Spandau","489","52.4533748","13.1191131","Krampnitzer Weg 83-87","14089","14"
"05P06","Spandau","490","52.53759","13.26061","Nonnendammallee 104","13629","14"
"05P08","Spandau","490","52.53759","13.26061","Nonnendammallee 104","13629","14"
"05P10","Spandau","491","52.567834","13.191662","Schönwalder Allee 26-46","13587","14"
"05P13","Spandau","492","52.5187165","13.1831064","Wilhelmstr. 25-30","13593","14"
"05P20","Spandau","492","52.5187165","13.1831064","Wilhelmstr. 25-30","13593","14"
"05P15","Spandau","493","52.55","13.15247","Stadtrandstr. 465","13589","14"
"05P16","Spandau","494","52.5331537","13.2689788","Wohlrabedamm 8","13629","14"
"05P17","Spandau","495","52.53046","13.21434","Pichelswerderstr. 9","13597","14"
"05P18","Spandau","496","52.52737","13.18859","Seecktstr. 2","13581","14"
"05P19","Spandau","497","52.51719","13.1763","Heerstr. 463 ","13593","14"
"05S03","Spandau","498","52.54326","13.24254","Gartenfelder Str. 81","13599","14"
"05Y01","Spandau","499","52.5407884","13.2001433","Galenstr. 40-44","13597","14"
"05Y02","Spandau","500","52.54286","13.20115","Bismarckstr. 54","13585","14"
"05Y03","Spandau","501","52.47244","13.13028","Am Landschaftspark Gatow 40","14089","14"
"05Y04","Spandau","502","52.54559","13.26983","Jungfernheideweg 79","13629","14"
"05Y05","Spandau","503","52.5385673","13.1990294","Münsingerstr. 2","13597","14"
"06A01","Steglitz-Zehlendorf","504","52.4446","13.24675","Hartmannsweilerweg 65","14163","15"
"06A02","Steglitz-Zehlendorf","505","52.42476","13.34742","Gallwitzallee 116","12249","15"
"06A03","Steglitz-Zehlendorf","505","52.42476","13.34742","Gallwitzallee 116","12249","15"
"06A08","Steglitz-Zehlendorf","505","52.42476","13.34742","Gallwitzallee 116","12249","15"
"06A04","Steglitz-Zehlendorf","506","52.4533","13.34514","Immenweg 6","12169","15"
"06A06","Steglitz-Zehlendorf","506","52.4533","13.34514","Immenweg 6","12169","15"
"06A07","Steglitz-Zehlendorf","506","52.4533","13.34514","Immenweg 6","12169","15"
"06A09","Steglitz-Zehlendorf","506","52.4533","13.34514","Immenweg 6","12169","15"
"06B04","Steglitz-Zehlendorf","506","52.4533","13.34514","Immenweg 6","12169","15"
"06A05","Steglitz-Zehlendorf","507","52.42925","13.31652","Goethestr. 9-11","12207","15"
"06B01","Steglitz-Zehlendorf","508","52.441813","13.248755","Hartmannsweilerweg 29","14163","15"
"06B02","Steglitz-Zehlendorf","509","52.41127","13.30571","Lippstädter Str. 9-11","12207","15"
"06B03","Steglitz-Zehlendorf","510","52.43032","13.31715","Ostpreußendamm 40","12207","15"
"06E01","Steglitz-Zehlendorf","511","52.44061","13.23796","Argentinische Allee 23","14163","15"
"06E02","Steglitz-Zehlendorf","512","52.4306","13.3098","Goerzallee 5","12207","15"
"06E05","Steglitz-Zehlendorf","513","52.455083","13.3206629","Kuhligkshofstr. 4","12165","15"
"06P14","Steglitz-Zehlendorf","513","52.455083","13.3206629","Kuhligkshofstr. 4","12165","15"
"06E07","Steglitz-Zehlendorf","514","52.44312","13.29709","Drakestr. 33","12205","15"
"06E08","Steglitz-Zehlendorf","515","52.4222284","13.3360638","Zerbster Str. 9","12209","15"
"06E13","Steglitz-Zehlendorf","516","52.4144103","13.1465939","Charlottenstr. 10","14109","15"
"06E14","Steglitz-Zehlendorf","517","52.46335","13.31587","Forststr. 44","12163","15"
"06G01","Steglitz-Zehlendorf","518","52.4359505","13.2555804","Potsdamer Str. 7","14163","15"
"06G02","Steglitz-Zehlendorf","519","52.4189","13.25839","Claszeile 56","14165","15"
"06G03","Steglitz-Zehlendorf","520","52.43162","13.21262","Wasgenstr. 50","14129","15"
"06G04","Steglitz-Zehlendorf","521","52.4581405","13.2831987","Bachstelzenweg 2-8","14195","15"
"06G05","Steglitz-Zehlendorf","522","52.4151806","13.1466952","Schulstr. 4","14109","15"
"06G06","Steglitz-Zehlendorf","523","52.4432055","13.2760022","Molsheimer Str. 7","14195","15"
"06G07","Steglitz-Zehlendorf","524","52.44543","13.246529","Wilskistr. 78","14163","15"
"06G08","Steglitz-Zehlendorf","525","52.42278","13.26571","Leo-Baeck-Str. 28-30","14167","15"
"06G09","Steglitz-Zehlendorf","526","52.4205","13.18369","Dreilindenstr. 65","14109","15"
"06G10","Steglitz-Zehlendorf","527","52.42255","13.24295","Ludwigsfelder Str. 43-47","14165","15"
"06G11","Steglitz-Zehlendorf","528","52.4257528","13.2252765","Am Rohrgarten 9","14163","15"
"06G12","Steglitz-Zehlendorf","529","52.4551","13.26995","Hüttenweg 40","14195","15"
"06S02","Steglitz-Zehlendorf","529","52.4551","13.26995","Hüttenweg 40","14195","15"
"06G14","Steglitz-Zehlendorf","530","52.46151","13.3354","Sachsenwaldstr. 20-21","12157","15"
"06G15","Steglitz-Zehlendorf","531","52.46486","13.31818","Gritznerstr. 19-23","12163","15"
"06G16","Steglitz-Zehlendorf","532","52.45398","13.31302","Rothenburgstr. 18","12165","15"
"06Y09","Steglitz-Zehlendorf","532","52.45398","13.31302","Rothenburgstr. 18","12165","15"
"06G17","Steglitz-Zehlendorf","533","52.4517754","13.3496046","Hanstedter Weg 11-15","12169","15"
"06G18","Steglitz-Zehlendorf","534","52.4406259","13.2905281","Curtiusstr. 37","12205","15"
"06G20","Steglitz-Zehlendorf","535","52.4370227","13.3510956","Schulstr. 17-21","12247","15"
"06G21","Steglitz-Zehlendorf","536","52.431002","13.341243","Seydlitzstr. 30-34","12249","15"
"06G22","Steglitz-Zehlendorf","537","52.42226","13.31102","Ostpreußendamm 63","12207","15"
"06G23","Steglitz-Zehlendorf","538","52.4416699","13.3130976","Moltkestr. 24-26","12203","15"
"06G24","Steglitz-Zehlendorf","539","52.42546","13.32527","Kastanienstr. 6 -8","12209","15"
"06G25","Steglitz-Zehlendorf","540","52.4335107","13.29316","Kommandantenstr. 83-84","12205","15"
"06G26","Steglitz-Zehlendorf","541","52.4381858","13.3101376","Tietzenweg 108","12203","15"
"06G27","Steglitz-Zehlendorf","542","52.42303","13.34815","Gallwitzallee 136-144","12249","15"
"06G28","Steglitz-Zehlendorf","543","52.43255","13.36236","Halbauer Weg 25","12249","15"
"06G29","Steglitz-Zehlendorf","544","52.4174006","13.3339824","Hildburghauser Str. 135","12209","15"
"06G30","Steglitz-Zehlendorf","545","52.4122498","13.3173756","Mercatorweg 8-10","12207","15"
"06G31","Steglitz-Zehlendorf","546","52.4477826","13.3188377","Haydnstr. 15","12203","15"
"06K01","Steglitz-Zehlendorf","548","52.42589","13.26273","Teltower Damm 87-93","14167","15"
"06K02","Steglitz-Zehlendorf","549","52.45479","13.26097","Am Hegewinkel 2A","14169","15"
"06K03","Steglitz-Zehlendorf","550","52.463848","13.3200702","Lepsiusstr. 24-28","12163","15"
"06K04","Steglitz-Zehlendorf","551","52.42889","13.3466","Dessauerstr. 63","12249","15"
"06K06","Steglitz-Zehlendorf","552","52.4387935","13.3098241","Tietzenweg 101","12203","15"
"06K08","Steglitz-Zehlendorf","553","52.4372496","13.3056278","Dürerstr. 27","12203","15"
"06K09","Steglitz-Zehlendorf","554",,,"Im Gehege 6","14195","15"
"06K10","Steglitz-Zehlendorf","555","52.4528","13.33586","Lauenburger Str. 110 ","12169","15"
"06P01","Steglitz-Zehlendorf","556","52.4347715","13.2645829","Kleinaustr. 4","14169","15"
"06P02","Steglitz-Zehlendorf","557","52.4378736","13.2283083","Salzachstr. 4","14163","15"
"06P04","Steglitz-Zehlendorf","558","52.4559693","13.2741315","Auf dem Grat 3","14195","15"
"06P05","Steglitz-Zehlendorf","559","52.41847","13.25739","Claszeile 60","14165","15"
"06P06","Steglitz-Zehlendorf","560","52.46039","13.30234","Podbielskiallee 78","14195","15"
"06P07","Steglitz-Zehlendorf","561","52.4474067","13.2338091","Quermatenweg 6","14163","15"
"06P08","Steglitz-Zehlendorf","562","52.42172","13.19381","Dreilindenstr. 24-26","14109","15"
"06P09","Steglitz-Zehlendorf","563","52.44188","13.22601","Klopstockstr. 36-42","14129","15"
"06P10","Steglitz-Zehlendorf","564","52.459234","13.3136248","Grunewaldstr. 44","12165","15"
"06P11","Steglitz-Zehlendorf","565","52.4591859","13.3298032","Körnerstr. 11","12169","15"
"06P12","Steglitz-Zehlendorf","566","52.45077","13.33156","Beymestr. 6-7","12167","15"
"06P13","Steglitz-Zehlendorf","567","52.43948","13.30596","Holbeinstr. 21","12203","15"
"06P15","Steglitz-Zehlendorf","568","52.4368926","13.3125501","Tietzenweg 130","12203","15"
"06P18","Steglitz-Zehlendorf","569","52.4198982","13.2834414","Harry-S.-Truman-Allee 3","14167","15"
"06P20","Steglitz-Zehlendorf","570","52.43704","13.26425","Clayallee 328-334","14169","15"
"06P21","Steglitz-Zehlendorf","571","52.43051","13.16298","Zum Heckeshorn 38","14109","15"
"06S01","Steglitz-Zehlendorf","572","52.44346","13.24838","Hartmannsweilerweg 47","14163","15"
"06S03","Steglitz-Zehlendorf","573","52.43515","13.35522","Wedellstr. 26","12247","15"
"06S04","Steglitz-Zehlendorf","574","52.43254","13.30621","Drakestr. 80","12205","15"
"06S05","Steglitz-Zehlendorf","575","52.4555688","13.3150467","Rothenburgstr. 14","12165","15"
"06Y01","Steglitz-Zehlendorf","576","52.43149","13.25463","Beuckestr. 27-29","14163","15"
"06Y02","Steglitz-Zehlendorf","577","52.42846","13.25673","Schönower Str. 8","14165","15"
"06Y03","Steglitz-Zehlendorf","578","52.45916","13.28001","Königin-Luise-Str. 80-84","14195","15"
"06Y04","Steglitz-Zehlendorf","579","52.42057","13.18778","Dreilindenstr. 49","14109","15"
"06Y05","Steglitz-Zehlendorf","580","52.43194","13.21159","Beskidenstr. 3","14129","15"
"06Y06","Steglitz-Zehlendorf","581","52.43293","13.34283","Barbarastr. 9","12249","15"
"06Y07","Steglitz-Zehlendorf","582","52.46219","13.3143884","Gritznerstr. 57","12163","15"
"06Y08","Steglitz-Zehlendorf","583","52.45297","13.33373","Elisenstr. 3-4","12169","15"
"06Y10","Steglitz-Zehlendorf","584","52.43595","13.31215","Ringstr. 2-3","12203","15"
"06Y11","Steglitz-Zehlendorf","585","52.4346011","13.3057902","Drakestr. 72-75","12205","15"
"06Y12","Steglitz-Zehlendorf","586","52.43469","13.32096","Ostpreußendamm 166","12207","15"
"06Y13","Steglitz-Zehlendorf","587","52.45671","13.32644","Heesestr. 15","12169","15"
"07A01","Tempelhof-Schöneberg","588","52.398","13.40412","Lutherstr. 18","12305","17"
"07A02","Tempelhof-Schöneberg","588","52.398","13.40412","Lutherstr. 18","12305","17"
"07A04","Tempelhof-Schöneberg","588","52.398","13.40412","Lutherstr. 18","12305","17"
"07A05","Tempelhof-Schöneberg","589","52.50343","13.34102","Nürnberger Str. 63","10787","17"
"07A06","Tempelhof-Schöneberg","590","52.47538","13.32137","Offenbacher Str. 5A","14197","17"
"07G16","Tempelhof-Schöneberg","590","52.47538","13.32137","Offenbacher Str. 5A","14197","17"
"07B01","Tempelhof-Schöneberg","591","52.4892717","13.351258","Klixstr. 6-7","10823","17"
"07B02","Tempelhof-Schöneberg","592","52.4991672","13.3647624","Steinmetzstr. 79","10783","17"
