"bsn","Holzwerkstatt","Textilwerkstatt","Metallwerkstatt","Werkstatt für Elektronik","Keramikwerkstatt","Werkstatt","Werkstätten","Weberei","Bäckerei","Lehrküche","Lernwerkstatt","Lernwerkstätten","Einsatz von Laptops","Einsatz von Whiteboards","Einsatz von Beamern","Computerraum","Computerräume","Mediothek","Internetcafé"
"03G32",,,,,,,,,,,,,,,,1,,,
"03G33",,,,,,,,,,,,,,,,,,,
"03G34",,,,,,,,,,,,,,,,1,,,
"03G35",,,,,,,,,,,,,,,,1,,,
"03G36",,,,,,,,,,,,,,,,,,,
"03G37",,,,,,,,,,,,,,,,,,,
"03G38",,,,,,,,,,,,,,,,,,,
"03G39",,,,,,,,,,,,,,,,,,,
"03G40",,,,,,,1,,,1,,,,,,,1,,
"03G41",,,,,,,,,,,,,,,,1,,,
"03G43",,,,,,,,,,,,,,,,1,,,
"03G44",,,,,,,,,,,,,,,,,,,
"03G45",,,,,,,,,,,,,,,,,,,
"03G46",,,,,,,,,,,,,,,,,,,
"03G47",,,,,,,,,,,,,,,,,,,
"03K01",,,,,,,,,,,,,,,,,,,
"03K02",,,,,,,,,,,,,,,,1,,,
"03K03",,,,,,,,,,,,,,,,,,,
"03K04",1,,1,,,1,,,,1,,,,,,1,,,
"03K04",,,,,,,,,,,,,,,,,,,
"03K04",,,,,,,,,,,,,,,,,,,
"03K05",,,,,,,,,,,,,,,,,1,,
"03K06",,,,,,,,,,,,,,,,,1,,
"03K07",,,,,,,,,,,,,,,,,,,
"03K08",,,,,,,,,,,,,,,,,1,,
"03K09",,,,,,,,,,,,,,,,1,,,
"03K10",1,1,1,,,1,,,,1,,,,,,,1,,
"03K11",,,,,,,,,,,,,,,,,,,
"03P02",,,,,,,,,,,,,,,,,,,
"03P03",,,,,,,,,,,,,,,,,,,
"03P03",,,,,,,,,,,,,,,,,,,
"03P04",,,,,,,1,,,1,,,1,,1,,1,,
"03P04",,,,,,,1,,,1,,,1,,1,,1,,
"03P08",,,,,,,,,,,,,,,,,,,
"03P08",,,,,,,,,,,,,,,,,,,
"03P08",,,,,,,,,,,,,,,,,,,
"03P10",,,,,,,,,,,,,,,,,,,
"03P11",,,,,,,,,,,,,,,,,,,
"03P12",,,,,,,,,,,,,,,,,,,
"03P13",,,,,,,,,,,,,,,,,,,
"03P14",,,,,,,,,,,,,,,,,,,
"03P15",,,,,,,,,,,,,,,,,,,
"03P17",,,,,,,,,,,,,,,,,,,
"03P18",,,,,,,,,,,,,,,,,,,
"03P20",,,,,,,,,,,,,,,,,,,
"03P21",,,,,,,,,,,,,,,,,,,
"03P22",,,,,,,,,,,,,,,,,,,
"03P23",,,,,,,,,,,,,,,,,,,
"03P24",,,,,,,,,,,,,,,,,,,
"03P26",,,,,,,,,,,,,,,,,,,
"03P27",,,,,,,,,,,,,,,,,,,
"03P28",,,,,,,,,,,,,,,,,,,
"03P28",,,,,,,1,,,,,,,,,,1,1,
"03P29",,,,,,,,,,,,,,,,,,,
"03P29",,,,,,,,,,,,,,,,,,,
"03P30",,,,,,,,,,,,,,,,,,,
"03P31",,,,,,,,,,,,,,,,,,,
"03P32",,,,,,,,,,,,,,,,,,,
"03P33",,,,,,,,,,,,,,,,,,,
"03P34",,,,,,,,,,,,,,,,,,,
"03S01",,,,,,,,,,,,,,,,,,,
"03S03",,,,,,,,,,,,,,,,,,,
"03S06",,,,,,,1,,,1,,,,,,,1,,
"03S07",,,,,,,,,,,,,,,,,,,
"03S08",,,,,,,,,,,,,,,,,,,
"03S09",,,,,,,,,,,,,,,,,,,
"03S10",,,,,,,,,,,,,1,,,,1,,
"03Y04",,,,,,1,,,,,1,,,,,,1,,
"03Y08",,,,,,,,,,,,,,,,,1,,
"03Y10",,,,,,,,,,,,,,,,,1,,
"03Y13",,,,,,,,,,,,,,,,,1,,
"03Y14",,,,,,,,,,,,,,,,,1,,
"03Y15",,,,,,,,,,,,,,,,,1,,
"03Y16",,,,,,,,,,,,,,,,,1,,
"04A01",,,,,,,,,,,,,,,,,,,
"04A02",,,,,,,,,,,,,,,,,,,
"04A03",,,,,,,,,,,,,,,,,,,
"04A04",,,,,,,,,,,,,,,,,,,
"04A06",,,,,,,,,,,,,,,,,,,
"04A07",,,,,,,,,,,,,,,,,,,
"04A08",,,,,,,,,,,,,,,,,1,,
"04A09",,,,,,,,,,,,,,,,,,,
"04B01",,,,,,,1,,,1,,,,,,1,,,
"04B01",,,,,,,,,,,,,,,,,,,
"04B02",,,,,,,,,,,,,,,,,1,,
"04B02",,,,,,,,,,,,,,,,,1,,
"04B02",,,,,,,,,,,,,,,,,1,,
"04B02",,,,,,,,,,,,,,,,,1,,
"04B03",,,,,,,,,,,,,,,,,,,
"04B03",,,,,,,,,,,,,,,,,,,
"04B03",,,,,,,,,,,,,,,,,,,
"04B03",,,,,,,,,,,,,,,,,,,
"04B04",,,,,,,,,,,,,,,,,,,
"04B04",,,,,,,,,,,,,,,,,,,
"04B04",,,,,,,,,,,,,,,,,,,
"04B05",,,,,,,,,,,,,,,,,,,
"04B05",,,,,,,,,,,,,,,,,,,
"04B05",,,,,,,,,,,,,,,,,,,
"04B05",,,,,,,,,,,,,,,,,,,
"04B05",,,,,,,,,,,,,,,,,,,
"04B06",,,,,,,,,,,,,,,,,,,
"04B06",,,,,,,,,,,,,,,,,,,
"04B06",,,,,,,,,,,,,,,,,,,
"04B07",,,,,,,,,,,,,,,,,,,
"04B07",,,,,,,,,,,,,,,,,,,
"04B07",,,,,,,,,,,,,,,,,,,
"04B08",,,,,,,,,,,,,,,,,,,
"04B08",,,,,,,,,,,,,,,,,,,
"04E01",,,,,,,,,,,,,,,,,,,
"04E02",,,,,,,,,,,,,,,,,,,
"04E03",,,,,,,,,,,,,,,,,,,
"04E04",,,,,,,,,,,,,,,,,,,
"04E05",,,,,,,,,,,,,,,,,,,
"04E07",,,,,,,,,,,,,,,,,,,
"04E09",,,,,,,,,,,,,,,,,,,
"04E10",,,,,,,,,,,,,,,,,,,
"04E12",,,,,,,,,,,,,,,,,,,
"04E13",,,,,,,,,,,,,,,,,,,
"04E14",,,,,,,,,,,,,,,,,,,
"04E15",,,,,,,,,,,,,,,,,,,
"04E17",,,,,,,,,,,,,,,,,,,
"04E20",,,,,,,,,,,,,,,,,,,
"04E21",,,,,,,,,,,,,,,,,,,
"04E22",,,,,,,,,,,,,,,,,,,
"04E24",,,,,,,,,,,,,,,,,,,
"04E25",,,,,,,,,,,,,,,,,,,
"04E27",,,,,,,,,,,,,,,,,,,
"04E28",,,,,,,,,,,,,,,,,,,
"04E30",,,,,,,,,,,,,,,,,,,
"04E31",,,,,,,,,,,,,,,,,,,
"04E32",,,,,,,,,,,,,,,,,,,
"04E33",,,,,,,,,,,,,,,,,,,
"04E34",,,,,,,,,,,,,,,,,,,
"04E36",,,,,,,,,,,,,,,,,,,
"04E38",,,,,,,,,,,,,,,,,,,
"04E40",,,,,,,,,,,,,,,,,,,
"04E41",,,,,,,,,,,,,,,,,,,
"04E42",,,,,,,,,,,,,,,,,,,
"04E43",,,,,,,,,,,,,,,,,,,
"04E44",,,,,,,,,,,,,,,,,,,
"04E45",,,,,,,,,,,,,,,,,,,
"04E46",,,,,,,,,,,,,,,,,,,
"04E47",,,,,,,,,,,,,,,,,,,
"04E48",,,,,,,,,,,,,,,,,,,
"04E50",,,,,,,,,,,,,,,,,,,
"04E51",,,,,,,,,,,,,,,,,,,
"04E52",,,,,,,,,,,,,,,,,,,
"04G01",,,,,1,1,,,,,,,,,,1,,,
"04G02",,,,,,,,,,,,,,,,1,,,
"04G04",,,,,,,,,,,,,,,,,1,,
"04G05",,,,,,,,,,,,,,,,1,,,
"04G06",,,,,,,,,,,,,,,,1,,,
"04G07",,,,,,,,,,,,,,,,,,,
"04G08",,,,,,,,,,,,,,,,,1,,
"04G09",,,,,,,,,,,,,,,,,,,
"04G11",,,,,,,,,,,,,,,,,,,
"04G12",,,,,,,,,,,,,,,,,,,
