bsn,Jahrgangsstufe,Klassenart,K,S,SM,SW,N,NM,NW,H,HM,HW
01G47,Jahrgangsstufe 04,Regelklasse,3,66,33,33,12,6,6,45,23,22
01G47,Jahrgangsstufe 04,Sonderpädagogische Kleinklasse,1,10,10,0,3,3,0,8,8,0
01G47,Jahrgangsstufe 05,Regelklasse,3,57,31,26,20,12,8,44,25,19
01G47,Jahrgangsstufe 06,Regelklasse,3,58,29,29,14,7,7,45,19,26
01G47,Jahrgangsstufe 06,Sonderpädagogische Kleinklasse,1,10,10,0,3,3,0,5,5,0
01G47,Schulanfangsphase,Jahrgangsübergreifende Lerngruppe,2,42,24,18,1,1,0,37,20,17
01G47,Schulanfangsphase,Sonderpädagogische Kleinklasse,1,10,10,0,3,3,0,3,3,0
01K01,Jahrgangsstufe 07,Regelklasse,4,91,55,36,41,24,17,87,52,35
01K01,Jahrgangsstufe 08,Regelklasse,7,163,90,73,81,44,37,141,75,66
01K01,Jahrgangsstufe 09,Regelklasse,7,172,86,86,96,45,51,157,78,79
01K01,Jahrgangsstufe 10,Regelklasse,3,78,32,46,37,13,24,73,30,43
01K02,Jahrgangsstufe 07,Regelklasse,3,73,38,35,31,16,15,60,31,29
01K02,Jahrgangsstufe 08,Regelklasse,8,161,88,73,70,40,30,138,78,60
01K02,Jahrgangsstufe 09,Praxislerngruppe,1,10,8,2,4,4,0,10,8,2
01K02,Jahrgangsstufe 09,Produktives Lernen,1,18,12,6,7,4,3,16,10,6
01K02,Jahrgangsstufe 09,Regelklasse,6,135,76,59,72,35,37,113,61,52
01K02,Jahrgangsstufe 10,Produktives Lernen,1,18,12,6,7,6,1,16,12,4
01K02,Jahrgangsstufe 10,Regelklasse,4,101,51,50,36,17,19,84,42,42
01K03,1. Kurshalbjahr,Regelklasse (Kurshalbjahre),0,64,24,40,21,8,13,55,20,35
01K03,3. Kurshalbjahr,Regelklasse (Kurshalbjahre),0,70,32,38,28,15,13,58,27,31
01K03,E-Phase,Regelklasse,3,78,35,43,29,15,14,69,33,36
01K03,Jahrgangsstufe 07,Regelklasse,6,143,75,68,33,21,12,121,67,54
01K03,Jahrgangsstufe 08,Regelklasse,11,272,147,125,116,58,58,245,131,114
01K03,Jahrgangsstufe 09,Regelklasse,9,224,118,106,98,45,53,205,106,99
01K03,Jahrgangsstufe 10,Regelklasse,6,158,82,76,76,41,35,136,70,66
01K04,Jahrgangsstufe 07,Regelklasse,4,104,54,50,24,12,12,38,19,19
01K04,Jahrgangsstufe 08,Regelklasse,4,106,59,47,16,6,10,45,26,19
01K04,Jahrgangsstufe 09,Lerngruppen für Neuzugänge ohne Deutschkenntnisse,1,13,7,6,13,7,6,13,7,6
01K04,Jahrgangsstufe 09,Regelklasse,4,104,58,46,26,16,10,45,25,20
01K04,Jahrgangsstufe 10,Regelklasse,4,104,59,45,27,16,11,50,28,22
01K05,Jahrgangsstufe 03,Regelklasse,3,56,29,27,7,4,3,46,22,24
01K05,Jahrgangsstufe 04,Regelklasse,2,42,26,16,12,9,3,39,24,15
01K05,Jahrgangsstufe 05,Regelklasse,2,41,26,15,9,4,5,31,22,9
